"No.","Time","Source","Destination","Protocol","Length","Info"
"11673","32.688741","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","93","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11674","32.692209","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","257","Protected Payload (KP0)"
"11675","32.692700","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","97","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11676","32.692964","192.168.29.161","35.244.233.98","QUIC","79","Protected Payload (KP0), DCID=f7344292e15c1234"
"11677","32.700342","35.244.233.98","192.168.29.161","QUIC","1292","Protected Payload (KP0)"
"11678","32.700342","35.244.233.98","192.168.29.161","QUIC","84","Protected Payload (KP0)"
"11679","32.711117","192.168.29.161","35.244.233.98","QUIC","79","Protected Payload (KP0), DCID=f7344292e15c1234"
"11680","32.716948","35.244.233.98","192.168.29.161","QUIC","1288","Protected Payload (KP0)"
"11681","32.716948","35.244.233.98","192.168.29.161","QUIC","326","Protected Payload (KP0)"
"11682","32.727089","192.168.29.161","35.244.233.98","QUIC","79","Protected Payload (KP0), DCID=f7344292e15c1234"
"11683","32.738486","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","86","Protected Payload (KP0)"
"11684","32.754951","35.244.233.98","192.168.29.161","QUIC","68","Protected Payload (KP0)"
"11685","32.780466","35.244.233.98","192.168.29.161","QUIC","68","Protected Payload (KP0)"
"11686","32.782864","192.168.29.161","35.244.233.98","QUIC","188","Protected Payload (KP0), DCID=f7344292e15c1234"
"11687","32.826730","35.244.233.98","192.168.29.161","QUIC","72","Protected Payload (KP0)"
"11688","32.846621","192.168.29.161","35.244.233.98","QUIC","75","Protected Payload (KP0), DCID=f7344292e15c1234"
"11689","32.849030","Arcadyan_fe:0a:0b","Broadcast","ARP","42","Who has 192.168.29.161? Tell 192.168.29.1"
"11690","32.849059","AzureWaveTec_01:dc:73","Arcadyan_fe:0a:0b","ARP","42","192.168.29.161 is at 70:66:55:01:dc:73"
"11691","32.894821","35.244.233.98","192.168.29.161","QUIC","716","Protected Payload (KP0)"
"11692","32.894821","35.244.233.98","192.168.29.161","QUIC","306","Protected Payload (KP0)"
"11693","32.910805","192.168.29.161","35.244.233.98","QUIC","79","Protected Payload (KP0), DCID=f7344292e15c1234"
"11694","32.931288","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","175","Protected Payload (KP0)"
"11695","32.932114","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","109","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11696","32.940081","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","83","Protected Payload (KP0)"
"11697","32.941060","35.244.233.98","192.168.29.161","QUIC","1287","Protected Payload (KP0)"
"11698","32.941060","35.244.233.98","192.168.29.161","QUIC","81","Protected Payload (KP0)"
"11699","32.941133","35.244.233.98","192.168.29.161","QUIC","231","Protected Payload (KP0)"
"11700","32.941133","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","125","Protected Payload (KP0)"
"11701","32.941133","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","126","Protected Payload (KP0)"
"11702","32.941524","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","97","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11703","32.942523","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","109","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11704","32.943282","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","102","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
"11705","32.945535","2404:6800:4002:80c::201b","2405:201:7003:c0d5:2547:811:8a15:a967","QUIC","126","Protected Payload (KP0)"
"11706","32.946502","192.168.29.161","35.244.233.98","QUIC","79","Protected Payload (KP0), DCID=f7344292e15c1234"
"11707","32.947267","2405:201:7003:c0d5:2547:811:8a15:a967","2404:6800:4002:80c::201b","QUIC","109","Protected Payload (KP0), DCID=f5b7c48e9e4da8ef"
